@relation butterfly_vs_owl_BasicImageFeatures

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute class {BUTTERFLY,OWL}

@data

0.205826,0.000436,0.298267,0.4,0.583812,0.047617,1.492408,0.02497,BUTTERFLY
0.694414,0.005846,0.64665,0.15,0.251846,0.050535,-0.668021,0.016361,BUTTERFLY
0.475313,0.000849,0.526453,0.4,0.387848,0.059388,-0.322196,0.005004,BUTTERFLY
0.450656,0.000336,0.381278,0.55,0.297832,0.041207,0.347098,0.006201,BUTTERFLY
0.441235,0.000518,0.35633,0.45,0.27925,0.049737,0.499013,0.007019,BUTTERFLY
0.501631,0.000521,0.363704,0.5,0.244078,0.050931,0.477927,0.006544,BUTTERFLY
0.459833,0.000405,0.348129,0.55,0.218699,0.04292,0.667571,0.007873,BUTTERFLY
0.277607,0.000391,0.354106,0.4,0.52791,0.047207,1.193294,0.009641,BUTTERFLY
0.305681,0.000347,0.397709,0.5,0.393498,0.057066,0.684982,0.0147,BUTTERFLY
0.29666,0.000648,0.451209,0.5,0.486254,0.066232,0.709539,0.008667,BUTTERFLY
0.279217,0.001472,0.479218,0.45,0.63283,0.037685,0.795335,0.00752,BUTTERFLY
0.479719,0.000237,0.377316,0.45,0.287207,0.06821,0.050553,0.005786,BUTTERFLY
0.243027,0.000077,0.412999,0.6,0.517084,0.056663,1.488477,0.010647,BUTTERFLY
0.34427,0.000418,0.310367,0.4,0.310453,0.046675,0.968067,0.009782,BUTTERFLY
0.453852,0.000501,0.351531,0.45,0.394118,0.059096,0.648212,0.00702,BUTTERFLY
0.239065,0.000023,0.321339,0.25,0.571346,0.039599,1.360555,0.014575,BUTTERFLY
0.467713,0.000421,0.497834,0.4,0.440019,0.057115,0.34446,0.005314,BUTTERFLY
0.32855,0.000154,0.402076,0.1,0.648622,0.056667,0.75135,0.006224,BUTTERFLY
0.50874,0.00024,0.357476,0.6,0.373981,0.067549,-0.127359,0.006264,BUTTERFLY
0.42092,0.000012,0.377063,0.25,0.621357,0.053351,0.483619,0.006892,BUTTERFLY
0.410618,0.000015,0.426555,0.25,0.617028,0.066655,0.229655,0.005117,BUTTERFLY
0.321492,0,0.321078,0.3,0.515293,0.040581,0.51089,0.007293,BUTTERFLY
0.409106,0,0.372171,0.3,0.599805,0.038636,0.031058,0.005967,BUTTERFLY
0.373474,0.000933,0.519444,0.85,0.446629,0.069013,0.673346,0.005105,BUTTERFLY
0.261838,0,0.367648,0.5,0.349753,0.029983,0.875798,0.008846,BUTTERFLY
0.427837,0.000849,0.442409,0.65,0.47789,0.03952,-0.149032,0.006035,BUTTERFLY
0.243275,0.00257,0.230664,0.2,0.890532,0.023691,0.247894,0.024042,BUTTERFLY
0.38225,0.000115,0.279136,0.2,0.561308,0.053143,0.192587,0.008071,BUTTERFLY
0.412006,0.003627,0.498073,0.35,0.489673,0.066285,0.638908,0.004912,BUTTERFLY
0.386217,0.002108,0.51745,0.5,0.412608,0.054773,0.475501,0.00519,BUTTERFLY
0.184075,0,0.213477,0.1,0.954669,0.02944,0.733338,0.013057,BUTTERFLY
0.399033,0.000778,0.534101,0.55,0.497044,0.055546,0.573262,0.005006,BUTTERFLY
0.267819,0.000047,0.390773,0.3,0.608459,0.06755,1.085855,0.00965,BUTTERFLY
0.546515,0.000078,0.351997,0.6,0.303073,0.047258,-0.129201,0.006423,BUTTERFLY
0.295838,0,0.328884,0.25,0.795271,0.05246,0.961496,0.008238,BUTTERFLY
0.291844,0.001683,0.381666,0.4,0.368794,0.070828,1.431594,0.013179,BUTTERFLY
0.311656,0.002223,0.360816,0.35,0.614992,0.053434,0.717851,0.007542,BUTTERFLY
0.381873,0.000036,0.488468,0.35,0.572421,0.069172,0.616037,0.005823,BUTTERFLY
0.244942,0.000621,0.396011,0.3,0.402338,0.061895,1.192741,0.016036,BUTTERFLY
0.482697,0,0.446272,0.5,0.319315,0.062831,0.212755,0.005161,BUTTERFLY
0.311215,0.000285,0.407142,0.65,0.421766,0.043178,0.559264,0.006665,BUTTERFLY
0.394978,0,0.458771,0.5,0.506487,0.040883,0.112728,0.005082,BUTTERFLY
0.371769,0,0.361199,0.55,0.262791,0.043178,0.52585,0.00706,BUTTERFLY
0.339113,0,0.334596,0.35,0.338276,0.049801,0.666441,0.007475,BUTTERFLY
0.472665,0.00147,0.399218,0.25,0.406938,0.051362,-0.057669,0.011632,BUTTERFLY
0.236063,0.001751,0.422838,0.35,0.54481,0.06507,1.163358,0.009265,BUTTERFLY
0.447437,0.000919,0.422731,0.35,0.477004,0.120827,-0.157221,0.008803,BUTTERFLY
0.381213,0.008589,0.473006,0.85,0.38116,0.078398,1.043543,0.006274,BUTTERFLY
0.307236,0.001453,0.302297,0.3,0.42382,0.101896,0.384237,0.008875,BUTTERFLY
0.265292,0.0004,0.387907,0.55,0.350613,0.039805,1.024633,0.009139,BUTTERFLY
0.435487,0.000024,0.495884,0.1,0.362972,0.034311,0.062455,0.023599,OWL
0.398412,0.004158,0.427205,0.3,0.220943,0.087286,0.597388,0.005811,OWL
0.440047,0.000309,0.436001,0.15,0.333321,0.026373,-0.299849,0.009148,OWL
0.44808,0.000003,0.4905,0.25,0.202683,0.044299,0.72354,0.006569,OWL
0.148949,0.007437,0.47682,0.45,0.26379,0.055576,1.923576,0.164433,OWL
0.544667,0,0.43507,0.1,0.367553,0.019808,-0.520969,0.006552,OWL
0.415194,0.000027,0.416599,0.4,0.226021,0.059983,0.526994,0.00646,OWL
0.475442,0,0.486027,0.25,0.252462,0.039537,0.049917,0.004661,OWL
