@relation butterfly_vs_owl_ColorLayoutImageFeatures

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute class {BUTTERFLY,OWL}

@data

7,17,17,12,17,13,12,14,20,16,16,18,17,14,14,16,14,15,15,14,14,17,16,17,13,15,16,16,16,17,16,15,15,16,15,16,15,15,16,16,17,15,16,15,15,16,16,16,15,15,15,15,17,15,16,16,15,15,15,15,16,16,15,16,24,14,13,21,13,20,20,17,11,14,15,13,14,17,18,15,17,16,16,17,17,14,16,15,19,16,16,15,46,15,18,7,16,8,11,14,19,18,15,19,19,14,13,16,14,15,15,14,15,18,15,16,11,16,15,17,BUTTERFLY
50,18,11,28,16,25,14,11,17,23,21,16,8,16,19,16,17,15,20,14,11,12,15,14,16,13,14,14,16,19,16,15,16,17,14,14,16,15,14,16,17,15,15,15,11,15,14,17,16,16,14,16,17,16,16,16,15,14,16,16,15,16,15,15,21,15,15,24,16,22,16,14,16,16,16,16,10,16,17,16,17,15,18,15,15,13,15,16,16,14,15,13,42,16,16,7,16,9,16,17,15,14,15,15,21,15,13,15,14,16,14,16,17,19,16,16,16,17,16,18,BUTTERFLY
31,12,15,15,14,16,17,14,20,16,18,14,8,17,14,16,12,18,14,19,11,18,13,11,15,14,16,14,17,17,18,16,16,16,19,15,14,16,16,14,18,13,15,18,17,16,18,14,16,15,15,12,14,15,19,18,17,16,15,15,14,16,14,17,15,15,16,21,16,22,15,15,16,14,14,14,11,14,15,16,17,16,18,15,17,15,17,17,19,16,16,15,31,14,13,7,14,10,15,17,16,17,16,18,21,17,16,16,17,15,15,14,17,17,15,15,13,16,15,16,BUTTERFLY
27,16,20,19,17,21,18,11,15,17,13,17,7,18,13,16,15,15,14,18,14,15,14,17,14,16,15,15,16,15,15,14,13,17,13,16,15,16,15,15,15,17,16,16,17,15,16,17,16,17,15,16,15,16,17,15,15,16,15,16,15,16,16,15,18,21,12,17,17,15,14,17,12,17,16,14,17,14,19,13,16,15,16,15,16,15,16,14,15,15,16,18,32,12,16,11,15,12,16,16,17,15,16,15,19,15,17,17,15,15,16,15,16,17,16,16,17,15,16,14,BUTTERFLY
26,16,21,14,20,19,17,12,16,10,14,14,14,16,15,16,17,12,21,14,17,16,15,17,13,17,14,15,16,15,14,15,18,16,16,15,15,15,15,14,16,15,15,16,15,15,14,15,16,15,16,15,16,15,14,15,16,16,16,14,16,16,16,15,19,17,15,17,15,18,14,17,13,18,15,15,13,15,15,16,16,17,13,16,16,16,16,15,17,15,17,16,32,14,14,13,15,12,16,17,16,17,16,16,19,15,17,16,15,16,13,16,15,16,16,16,15,15,15,16,BUTTERFLY
33,18,16,16,19,19,18,11,14,12,13,14,11,15,13,15,16,14,19,14,14,17,16,19,14,18,13,16,16,16,14,13,15,16,16,16,15,15,15,14,15,16,16,16,15,16,15,16,14,16,16,16,14,16,15,15,15,16,15,15,16,16,15,15,20,18,14,18,14,17,14,17,13,16,17,17,15,16,18,15,15,17,14,16,17,15,15,14,15,14,17,16,31,13,15,12,15,12,17,17,17,17,16,15,18,15,16,16,15,14,14,16,15,16,16,15,17,15,16,15,BUTTERFLY
27,20,15,18,17,18,17,15,14,13,14,18,11,16,14,14,16,12,19,15,15,16,16,19,14,17,14,14,14,14,14,13,16,16,15,17,16,15,16,15,16,15,15,15,16,15,16,16,14,15,16,16,15,15,15,16,15,16,15,16,15,17,15,16,23,15,16,17,14,17,14,16,14,17,16,16,15,16,16,17,15,17,14,16,16,15,15,15,16,15,16,16,32,13,16,12,16,12,16,16,16,17,17,14,19,15,16,16,16,16,14,16,16,16,16,15,17,14,16,16,BUTTERFLY
12,16,9,14,19,11,15,15,13,18,17,16,17,14,17,15,16,16,13,16,14,16,15,16,15,17,16,14,15,16,15,15,15,16,15,15,16,15,15,15,16,15,15,17,16,16,15,15,16,16,16,15,17,15,15,16,16,15,14,15,16,15,16,16,25,15,16,16,16,17,15,16,15,16,14,16,15,16,16,15,15,15,16,16,16,15,15,16,15,15,16,16,28,18,6,15,13,13,15,15,16,15,18,15,19,15,12,16,18,16,16,16,15,15,16,15,16,16,16,14,BUTTERFLY
14,13,16,13,17,7,17,18,13,19,19,17,19,15,14,15,17,17,14,15,18,15,13,16,14,15,15,17,17,15,18,17,16,16,17,15,15,14,17,14,15,15,16,15,15,15,15,16,17,16,18,16,17,16,16,17,15,16,16,15,17,17,14,14,16,18,16,18,14,22,14,14,19,13,13,15,11,17,18,16,14,14,17,16,13,16,18,16,17,16,16,14,37,15,15,11,15,11,17,16,14,17,18,16,20,15,14,15,16,16,14,16,17,15,14,16,14,16,16,16,BUTTERFLY
13,14,11,12,14,13,13,17,20,14,15,16,16,15,12,15,16,18,15,17,14,15,16,15,16,14,17,16,16,14,16,17,16,17,13,15,15,16,14,16,14,15,18,17,14,16,15,14,17,15,20,15,17,15,15,14,16,15,15,15,15,15,16,15,15,17,18,16,18,16,17,15,10,18,17,14,16,16,18,17,14,14,16,16,16,15,15,16,16,18,13,14,36,14,15,12,14,13,15,15,18,15,15,16,18,15,14,15,16,16,15,16,16,16,16,16,16,15,17,17,BUTTERFLY
12,12,22,17,19,10,13,8,16,19,14,17,17,21,14,18,17,17,11,22,16,14,16,14,14,19,17,16,17,17,16,16,18,17,17,15,14,16,13,16,17,14,13,12,15,12,16,15,17,14,15,14,16,16,16,14,15,16,14,15,16,15,16,16,15,16,14,21,16,21,17,16,16,16,16,14,9,13,16,16,15,13,17,14,16,15,15,16,17,16,16,15,38,16,14,7,12,6,13,16,17,14,14,17,23,16,17,15,18,16,15,15,15,16,16,15,15,15,15,16,BUTTERFLY
30,13,17,19,16,16,15,16,15,17,15,14,16,15,16,15,15,15,16,16,16,16,16,13,16,15,14,18,17,15,17,16,16,16,16,15,16,17,18,17,16,15,16,15,14,15,15,15,15,14,16,15,16,16,15,16,14,17,16,14,15,14,16,17,19,14,12,19,16,20,16,15,15,16,14,15,12,14,14,16,16,15,16,16,15,16,16,17,17,16,16,15,35,16,15,11,15,12,16,16,16,15,18,17,19,16,16,16,15,16,15,16,16,15,15,14,14,15,15,16,BUTTERFLY
9,20,14,15,17,11,16,15,17,15,16,17,17,15,17,16,14,14,16,16,15,15,14,13,16,19,15,14,14,19,18,15,15,16,16,15,15,17,17,17,15,13,17,14,14,17,15,15,15,16,16,14,15,17,14,16,15,17,14,15,15,14,15,16,20,16,14,18,15,19,14,18,15,17,15,15,12,16,16,16,15,16,16,15,14,15,16,17,16,15,16,15,41,13,15,13,17,7,17,14,14,15,14,17,16,12,14,14,16,17,16,16,15,18,15,16,17,18,17,15,BUTTERFLY
14,15,18,17,16,13,17,14,16,13,13,15,14,16,18,15,17,16,17,15,13,15,16,17,16,14,15,15,15,15,16,15,15,18,16,16,15,16,16,14,15,15,16,15,15,16,14,15,15,15,15,16,16,15,16,17,16,16,16,16,15,15,15,16,32,14,17,19,16,19,15,15,16,16,14,15,12,15,15,16,16,16,17,15,16,16,16,17,16,15,16,16,31,17,16,8,15,8,16,14,15,15,17,17,22,16,17,16,15,15,15,16,15,15,15,15,14,16,15,16,BUTTERFLY
