@relation dogs_BasicImageFeatures

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute class {BEAGLE,GERMAN_SHORTHAIRED}

@data

0.643343,0.001476,0.454161,0.2,0.423987,0.030935,-1.343615,0.014667,BEAGLE
0.494222,0.002351,0.441141,0.1,0.335671,0.04205,-0.598587,0.006612,BEAGLE
0.331215,0.000006,0.326745,0.15,0.408092,0.019798,1.555223,0.012856,BEAGLE
0.465458,0.000022,0.522355,0.2,0.369045,0.017641,-0.303355,0.006667,BEAGLE
0.364878,0.001282,0.561403,0.05,0.406019,0.040372,0.669394,0.005801,BEAGLE
0.276636,0.000528,0.327298,0.3,0.482326,0.140373,0.835263,0.007303,BEAGLE
0.291604,0.00888,0.53011,0.35,0.35151,0.060393,1.032866,0.007274,BEAGLE
0.418068,0,0.686805,0.2,0.216732,0.02212,0.331069,0.011323,BEAGLE
0.411679,0.000038,0.375389,0.2,0.558168,0.031869,-0.021389,0.006251,BEAGLE
0.690331,0.000003,0.381386,0.1,0.190018,0.015887,-1.651305,0.012081,BEAGLE
0.530826,0.00059,0.396687,0.15,0.337428,0.075649,-0.073695,0.005705,BEAGLE
0.43176,0.000558,0.556011,0.25,0.253789,0.040655,0.173519,0.004807,BEAGLE
0.780176,0.191043,0.525091,0.1,0.149114,0.036952,-1.421101,0.044214,BEAGLE
0.559401,0.029782,0.498559,0.1,0.492578,0.033773,-0.018007,0.005761,BEAGLE
0.461199,0.003641,0.505376,0.15,0.580948,0.037154,0.048173,0.004424,BEAGLE
0.414556,0.00681,0.471915,0.3,0.672707,0.15338,0.06814,0.005133,BEAGLE
0.41912,0.003338,0.424499,0.4,0.35916,0.195459,0.650469,0.005896,BEAGLE
0.440546,0.004367,0.470299,0.1,0.396554,0.028703,-0.055466,0.0052,BEAGLE
0.716895,0.000119,0.332333,0.1,0.084745,0.03481,-2.638729,0.028837,BEAGLE
0.285191,0.00074,0.401719,0.1,0.466333,0.041466,0.391964,0.007635,BEAGLE
0.383879,0.001442,0.321993,0.05,0.278321,0.030409,0.25849,0.012103,BEAGLE
0.554,0.035684,0.542261,0.3,0.239876,0.037905,-0.027052,0.005495,BEAGLE
0.482187,0.001263,0.30973,0.2,0.379398,0.076548,-0.098485,0.013116,BEAGLE
0.446895,0.000062,0.364962,0.55,0.386212,0.147554,0.430461,0.006091,BEAGLE
0.442051,0.000024,0.46436,0.2,0.260579,0.022568,0.156719,0.006469,BEAGLE
0.326315,0.000745,0.337885,0.2,0.493926,0.230104,0.711931,0.006855,BEAGLE
0.597565,0.006632,0.591426,0.25,0.168744,0.062131,-0.38444,0.004911,BEAGLE
0.333742,0.016901,0.562761,0.1,0.406593,0.03307,0.48805,0.009707,BEAGLE
0.374888,0.005167,0.436921,0.15,0.712887,0.056434,0.427522,0.005708,BEAGLE
0.408737,0.007869,0.516294,0.45,0.312599,0.094368,0.456581,0.005103,BEAGLE
0.226758,0.002166,0.53162,0.35,0.510389,0.045139,1.496477,0.012779,BEAGLE
0.388776,0.000184,0.437166,0.15,0.396385,0.064335,0.333811,0.005395,BEAGLE
0.413903,0.001873,0.420414,0.15,0.356373,0.064874,0.047971,0.00577,BEAGLE
0.410281,0.001806,0.414022,0.15,0.26205,0.063325,0.030564,0.007445,BEAGLE
0.337111,0.000003,0.399876,0.15,0.440698,0.033911,0.91262,0.009555,BEAGLE
0.32481,0,0.525078,0.35,0.316494,0.122072,0.9047,0.008609,BEAGLE
0.498409,0.000127,0.436149,0.15,0.436046,0.064148,0.093392,0.005635,BEAGLE
0.379821,0.002297,0.425505,0.15,0.366439,0.039099,0.751305,0.005935,BEAGLE
0.431676,0.001203,0.321971,0.1,0.597257,0.14434,0.185523,0.008078,BEAGLE
0.422391,0.001064,0.440389,0.1,0.530615,0.027036,0.095975,0.00535,BEAGLE
0.347441,0,0.472708,0.1,0.435277,0.094073,0.579236,0.005682,BEAGLE
0.449165,0.005068,0.3845,0.2,0.211889,0.129486,0.366779,0.007213,BEAGLE
0.529966,0.000033,0.507701,0.2,0.173611,0.045004,-0.516599,0.006933,BEAGLE
0.455009,0.001026,0.395954,0.2,0.723006,0.088662,0.023316,0.006587,BEAGLE
0.455033,0.013888,0.337276,0.15,0.232004,0.137681,0.894376,0.009908,BEAGLE
0.378857,0.000383,0.255202,0.1,0.758035,0.202297,0.700922,0.010081,BEAGLE
0.321281,0.000056,0.348491,0.2,0.593243,0.071529,1.832065,0.011998,BEAGLE
0.470051,0.000009,0.553611,0.15,0.38607,0.059213,0.389046,0.004717,BEAGLE
0.40935,0.000345,0.457534,0.1,0.457507,0.039254,0.622719,0.005903,BEAGLE
0.600875,0.000676,0.479715,0.35,0.280061,0.105351,-0.580938,0.00561,GERMAN_SHORTHAIRED
0.365227,0.026355,0.608735,0.5,0.426373,0.107652,0.681518,0.007427,GERMAN_SHORTHAIRED
0.421445,0.008503,0.501585,0.65,0.176238,0.097867,0.618,0.005207,GERMAN_SHORTHAIRED
0.612614,0.000523,0.566642,0.15,0.343465,0.065314,-0.452935,0.005825,GERMAN_SHORTHAIRED
0.579502,0.00013,0.525309,0.15,0.46174,0.065948,-0.639345,0.006653,GERMAN_SHORTHAIRED
0.277401,0.000054,0.368611,0.3,0.307231,0.101645,1.745103,0.010519,GERMAN_SHORTHAIRED
0.492774,0.000112,0.430548,0.15,0.179014,0.050152,-0.776866,0.010237,GERMAN_SHORTHAIRED
0.530619,0.000026,0.464069,0.2,0.148657,0.042128,-0.77801,0.0127,GERMAN_SHORTHAIRED
0.507044,0.000044,0.391623,0.2,0.159335,0.052081,-0.610626,0.01112,GERMAN_SHORTHAIRED
0.510782,0.000543,0.467336,0.2,0.466279,0.140396,-0.31969,0.004847,GERMAN_SHORTHAIRED
0.414328,0.00312,0.543814,0.4,0.45314,0.086242,0.848074,0.00596,GERMAN_SHORTHAIRED
0.325829,0.000181,0.534016,0.45,0.314069,0.086174,0.755558,0.007149,GERMAN_SHORTHAIRED
0.410372,0.013368,0.544349,0.35,0.531402,0.163489,0.856212,0.005651,GERMAN_SHORTHAIRED
0.388526,0.000496,0.382965,0.9,0.193773,0.063941,0.224811,0.005732,GERMAN_SHORTHAIRED
0.441081,0.000151,0.416041,0.15,0.512817,0.120752,-0.274405,0.005395,GERMAN_SHORTHAIRED
0.389088,0.000161,0.339451,0.1,0.454188,0.078263,-0.0111,0.006357,GERMAN_SHORTHAIRED
0.409315,0.000759,0.437516,0.5,0.366526,0.128464,0.543982,0.005212,GERMAN_SHORTHAIRED
0.524222,0.036046,0.49435,0.5,0.257708,0.080541,0.364785,0.006048,GERMAN_SHORTHAIRED
0.388528,0.000145,0.415475,0.3,0.350724,0.093343,0.680839,0.005795,GERMAN_SHORTHAIRED
0.243808,0.000188,0.387656,0.25,0.162455,0.051933,1.205902,0.008911,GERMAN_SHORTHAIRED
0.633092,0.000231,0.44694,0.1,0.214829,0.123197,-0.384323,0.005612,GERMAN_SHORTHAIRED
0.448127,0.000053,0.3062,0.35,0.198096,0.101919,-0.466295,0.008879,GERMAN_SHORTHAIRED
0.350348,0.000019,0.218242,0.1,0.394828,0.080669,0.086038,0.011029,GERMAN_SHORTHAIRED
0.468496,0.001022,0.385271,0.2,0.321672,0.058632,0.502757,0.007093,GERMAN_SHORTHAIRED
0.446035,0.001872,0.349596,0.1,0.325162,0.102575,-0.635285,0.008258,GERMAN_SHORTHAIRED
0.486795,0.005175,0.436355,0.15,0.233244,0.080856,-0.42449,0.006673,GERMAN_SHORTHAIRED
0.619512,0.007823,0.646111,0.3,0.166399,0.071258,-0.511444,0.006087,GERMAN_SHORTHAIRED
0.432861,0.003127,0.634003,0.15,0.264099,0.0564,0.095819,0.005211,GERMAN_SHORTHAIRED
0.491486,0.000491,0.46747,0.15,0.231931,0.053922,-0.10707,0.00481,GERMAN_SHORTHAIRED
0.244779,0.000022,0.29854,0.35,0.350699,0.058841,1.681729,0.011765,GERMAN_SHORTHAIRED
0.396897,0.007909,0.508751,0.4,0.328161,0.041305,0.303636,0.005019,GERMAN_SHORTHAIRED
0.267335,0.016193,0.359327,0.4,0.421064,0.063005,0.399282,0.008034,GERMAN_SHORTHAIRED
0.502101,0.00032,0.319725,0.15,0.374841,0.133259,-0.99318,0.009528,GERMAN_SHORTHAIRED
0.338393,0.000019,0.353507,0.35,0.535693,0.087643,0.76761,0.007633,GERMAN_SHORTHAIRED
0.384061,0.090518,0.528331,0.2,0.341334,0.077447,-0.449496,0.039872,GERMAN_SHORTHAIRED
0.343646,0.030037,0.472452,0.25,0.191315,0.047419,1.356215,0.009679,GERMAN_SHORTHAIRED
0.599055,0.146143,0.634771,0.15,0.25069,0.033782,-0.361376,0.024344,GERMAN_SHORTHAIRED
0.60684,0.000325,0.538365,0.15,0.179963,0.043992,-0.334676,0.007271,GERMAN_SHORTHAIRED
0.287116,0.033649,0.539249,0.15,0.525966,0.045629,1.15552,0.009755,GERMAN_SHORTHAIRED
0.304786,0.000465,0.343707,0.1,0.320544,0.140914,1.322931,0.008154,GERMAN_SHORTHAIRED
0.542518,0.019455,0.679477,0.2,0.299657,0.212521,-0.135764,0.005546,GERMAN_SHORTHAIRED
0.599119,0.005645,0.472027,0.7,0.237437,0.185913,-0.575045,0.005036,GERMAN_SHORTHAIRED
0.53192,0.000357,0.263495,0.15,0.678178,0.082247,-0.831589,0.009128,GERMAN_SHORTHAIRED
0.463822,0.000848,0.374594,0.15,0.241239,0.050595,-0.298992,0.006822,GERMAN_SHORTHAIRED
0.636175,0.000992,0.30354,0.2,0.327629,0.094884,-1.184159,0.00876,GERMAN_SHORTHAIRED
0.506997,0.002119,0.340079,0.35,0.259357,0.154553,-0.813159,0.009236,GERMAN_SHORTHAIRED
0.396374,0.004998,0.449128,0.15,0.4009,0.162205,0.456939,0.005116,GERMAN_SHORTHAIRED
0.513059,0.003704,0.557406,0.15,0.358328,0.104339,0.039262,0.004369,GERMAN_SHORTHAIRED
0.345141,0.020073,0.477549,0.05,0.639888,0.039214,0.5854,0.006798,GERMAN_SHORTHAIRED
0.51945,0.00061,0.398419,0.55,0.223805,0.200428,-0.10712,0.005431,GERMAN_SHORTHAIRED
