@relation dogs_ColorLayoutImageFeatures

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute f79 numeric
@attribute f80 numeric
@attribute f81 numeric
@attribute f82 numeric
@attribute f83 numeric
@attribute f84 numeric
@attribute f85 numeric
@attribute f86 numeric
@attribute f87 numeric
@attribute f88 numeric
@attribute f89 numeric
@attribute f90 numeric
@attribute f91 numeric
@attribute f92 numeric
@attribute f93 numeric
@attribute f94 numeric
@attribute f95 numeric
@attribute f96 numeric
@attribute f97 numeric
@attribute f98 numeric
@attribute f99 numeric
@attribute f100 numeric
@attribute f101 numeric
@attribute f102 numeric
@attribute f103 numeric
@attribute f104 numeric
@attribute f105 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f108 numeric
@attribute f109 numeric
@attribute f110 numeric
@attribute f111 numeric
@attribute f112 numeric
@attribute f113 numeric
@attribute f114 numeric
@attribute f115 numeric
@attribute f116 numeric
@attribute f117 numeric
@attribute f118 numeric
@attribute f119 numeric
@attribute class {BEAGLE,GERMAN_SHORTHAIRED}

@data

41,20,19,22,15,22,13,17,14,18,13,14,8,14,15,17,14,17,14,16,17,15,15,16,18,15,17,12,17,16,16,17,16,15,16,15,16,16,15,17,14,19,15,14,14,15,16,16,17,15,15,15,14,15,17,16,15,15,15,15,17,16,15,16,36,17,23,17,16,24,14,14,15,18,14,15,11,15,14,17,15,16,16,16,17,14,15,14,16,17,16,15,53,15,16,16,16,20,15,14,16,17,14,15,14,15,15,16,15,16,15,15,16,16,15,16,17,15,16,14,BEAGLE
31,13,19,21,17,22,13,9,17,12,12,14,11,14,16,21,15,18,16,17,14,15,17,17,17,12,14,15,16,16,12,18,15,18,16,16,16,15,17,17,17,16,16,15,16,17,15,15,15,15,16,15,16,16,15,15,16,17,17,16,16,17,15,14,20,16,15,16,16,16,14,17,15,16,16,16,15,16,16,16,15,16,15,16,16,15,16,15,15,16,15,15,43,15,16,14,15,14,17,14,16,15,15,16,17,16,15,15,17,14,16,15,16,16,16,16,16,15,16,16,BEAGLE
15,16,18,16,17,8,14,13,16,14,18,15,14,14,18,17,16,15,17,17,16,17,15,13,16,15,15,15,15,15,14,14,13,15,16,16,14,14,16,15,15,16,16,18,16,16,16,15,15,16,16,16,16,16,16,15,15,18,16,15,16,16,14,15,19,18,13,15,14,12,14,17,15,15,16,15,17,17,17,15,16,16,16,15,15,16,15,15,16,15,15,14,29,21,17,16,17,10,12,14,15,15,15,15,15,13,15,14,15,16,15,16,16,15,16,16,15,16,17,14,BEAGLE
25,27,6,18,13,8,17,16,12,14,14,16,16,18,17,13,13,17,16,10,13,15,14,16,13,13,15,18,15,16,16,18,16,15,16,17,16,17,16,14,15,15,16,16,15,16,14,14,17,16,16,15,15,16,16,16,15,15,16,15,16,16,16,14,37,24,10,19,14,15,14,18,16,14,13,17,14,14,14,16,14,17,14,13,13,16,15,15,15,15,15,16,30,10,20,13,16,17,16,15,16,15,17,16,17,16,16,15,16,15,16,17,17,15,16,15,16,16,16,15,BEAGLE
16,20,6,16,13,7,9,13,13,7,13,19,19,22,14,15,19,14,17,14,10,15,17,14,15,12,17,15,16,16,14,15,13,21,14,17,16,16,18,19,16,16,16,14,17,18,17,16,14,15,13,14,14,17,13,15,15,18,17,17,16,16,16,15,23,19,11,19,14,17,15,18,16,19,18,15,16,16,16,16,16,15,15,15,18,16,16,15,16,16,16,16,38,12,20,12,17,15,16,13,15,13,13,16,15,15,15,16,15,16,16,17,14,15,15,16,16,16,15,15,BEAGLE
12,14,17,8,14,11,15,15,15,12,12,16,17,16,14,17,15,16,16,16,13,15,16,16,15,16,15,15,14,16,15,16,16,16,15,15,16,16,16,16,17,16,16,16,15,16,16,15,16,16,16,15,15,15,15,16,16,15,15,15,16,15,16,16,17,16,17,19,16,16,15,16,15,18,17,15,16,16,17,16,15,16,15,15,16,16,15,16,15,15,15,15,27,15,17,16,16,14,15,15,16,16,16,16,17,16,16,16,16,16,15,16,16,15,16,15,16,15,16,15,BEAGLE
12,26,17,13,15,6,9,17,10,18,13,20,18,16,14,14,17,19,20,14,13,16,14,19,17,19,17,16,18,17,19,15,19,15,16,15,17,15,12,16,12,15,15,14,13,15,15,13,17,15,16,16,15,15,15,16,17,16,15,15,17,15,15,15,25,16,14,12,15,17,14,16,15,16,16,14,16,16,15,16,15,17,14,17,16,16,15,16,16,16,16,16,33,14,19,16,16,14,17,14,17,15,15,16,16,15,16,15,15,15,16,16,15,15,15,16,15,15,15,16,BEAGLE
22,18,0,21,14,12,15,15,15,19,13,19,20,16,18,14,15,14,16,14,17,15,14,12,15,13,16,15,15,15,17,17,18,16,18,15,14,17,15,16,15,16,16,16,15,15,15,14,14,17,16,16,15,15,15,16,15,15,17,16,17,16,15,15,28,16,14,18,15,16,16,15,15,16,15,16,15,16,16,16,15,16,15,15,15,16,15,16,15,15,16,16,32,15,16,13,16,15,15,15,16,16,16,15,16,15,15,15,16,16,16,15,16,15,16,15,16,16,16,16,BEAGLE
23,7,12,12,15,12,15,14,15,18,18,17,15,15,14,16,19,14,14,16,14,19,15,15,17,16,14,17,13,15,17,18,15,18,15,16,16,14,16,13,16,14,18,15,16,16,12,16,16,15,17,14,17,16,16,14,17,15,16,15,14,17,15,16,12,24,8,13,16,12,18,16,13,15,14,15,19,16,15,15,15,15,18,17,15,13,15,15,16,15,17,16,49,14,17,16,13,18,15,16,15,16,16,17,12,17,15,15,17,13,16,14,16,17,16,16,17,14,15,15,BEAGLE
50,14,16,18,13,25,15,13,16,19,17,15,12,16,10,16,17,17,12,17,13,15,16,14,16,16,15,17,16,14,15,16,14,17,15,14,15,16,15,16,16,17,16,15,17,16,16,16,17,16,15,16,15,15,16,14,15,15,15,16,16,15,16,15,21,11,16,15,13,17,16,14,17,15,16,15,16,15,15,16,16,16,15,16,15,15,16,15,16,16,16,16,37,17,16,16,17,14,16,16,15,16,15,16,16,16,16,16,16,16,16,15,16,16,16,16,15,16,16,15,BEAGLE
34,15,19,17,18,12,18,19,15,16,17,17,18,14,15,12,15,15,17,16,15,15,17,15,16,15,14,15,17,16,16,16,14,15,15,17,15,15,14,16,16,15,16,16,17,17,16,16,14,15,15,16,15,15,16,15,16,15,16,16,17,17,16,14,21,20,14,16,18,14,18,19,13,17,18,17,19,14,17,14,15,14,15,16,16,16,16,16,15,16,15,16,48,11,16,14,12,20,11,11,21,14,13,13,10,18,15,19,16,17,16,14,15,16,15,15,17,14,17,15,BEAGLE
